,block_id,previous_solution,timeout,initial_n_instrs,initial_estimated_size,initial_estimated_gas,rules,initial_length,saved_length,solver_time_in_sec,saved_size,saved_gas,model_found,shown_optimal,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,outcome
0,test_initial_block_0_0,PUSH 80 PUSH 40 MSTORE CALLVALUE DUP1 ISZERO PUSH [tag] 1,4,7,11,20,,7,0,0.02,0,1,True,True,CALLVALUE PUSH 80 PUSH 40 MSTORE CALLVALUE ISZERO PUSH [tag] 1,7.0,7.0,11.0,19.0,model
1,test_initial_block_1_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
2,test_initial_block_2_0,POP PUSH #[$] 0 DUP1 PUSH [$] 0 PUSH 0,2,5,12,14,,5,0,0.02,1,1,True,True,POP PUSH #[$] 0 DUP1 PUSH [$] 0 PUSH0,5.0,5.0,11.0,13.0,model
3,test_initial_block_2_1,PUSH 0,2,1,2,3,,1,0,0.01,1,1,True,True,PUSH0,1.0,1.0,1.0,2.0,model
4,test_run_code_of_0_block_0_0,PUSH 80 PUSH 40 MSTORE CALLVALUE DUP1 ISZERO PUSH [tag] 1,4,7,11,20,,7,0,0.02,0,1,True,True,CALLVALUE PUSH 80 PUSH 40 MSTORE CALLVALUE ISZERO PUSH [tag] 1,7.0,7.0,11.0,19.0,model
5,test_run_code_of_0_block_1_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
6,test_run_code_of_0_block_2_0,POP PUSH 4 CALLDATASIZE LT PUSH [tag] 2,2,5,8,13,,5,0,0.02,0,0,True,True,POP PUSH 4 CALLDATASIZE LT PUSH [tag] 2,5.0,5.0,8.0,13.0,model
7,test_run_code_of_0_block_3_0,PUSH 0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 1920bc87 EQ PUSH [tag] 3,2,8,16,24,,8,0,0.03,1,1,True,True,PUSH0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 1920bc87 EQ PUSH [tag] 3,8.0,8.0,15.0,23.0,model
8,test_run_code_of_0_block_4_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
9,test_run_code_of_0_block_5_0,PUSH [tag] 4 PUSH [tag] 5 CALLDATASIZE PUSH 4 PUSH [tag] 6,2,5,12,14,,5,0,0.02,0,0,True,True,PUSH [tag] 4 PUSH [tag] 5 CALLDATASIZE PUSH 4 PUSH [tag] 6,5.0,5.0,12.0,14.0,model
10,test_run_code_of_0_block_6_0,PUSH [tag] 7,2,1,3,3,,1,0,0.01,0,0,True,True,PUSH [tag] 7,1.0,1.0,3.0,3.0,model
11,test_run_code_of_0_block_7_0,PUSH 40 MLOAD SWAP1 DUP2 MSTORE PUSH 20 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,4,13,16,39,,13,0,0.19,0,0,True,True,PUSH 40 MLOAD SWAP1 DUP2 MSTORE PUSH 20 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,13.0,13.0,16.0,39.0,model
12,test_run_code_of_0_block_8_0,PUSH 0 DUP1 PUSH 0 DUP4 PUSH 450 DUP2 MLOAD DUP2 LT PUSH [tag] 12,2,10,16,30,,10,0,0.1,2,3,True,True,PUSH0 PUSH0 PUSH0 DUP4 PUSH 450 DUP2 MLOAD DUP2 LT PUSH [tag] 12,10.0,10.0,14.0,27.0,model
13,test_run_code_of_0_block_9_0,PUSH [tag] 12 PUSH [tag] 13,2,2,6,6,,2,0,0.01,0,0,True,True,PUSH [tag] 12 PUSH [tag] 13,2.0,2.0,6.0,6.0,model
14,test_run_code_of_0_block_10_0,PUSH 20 MUL PUSH 20 ADD ADD MLOAD SWAP2 POP PUSH 7000 DUP3 GT ISZERO PUSH [tag] 14,2,13,19,40,,13,0,0.8,0,0,True,True,PUSH 20 MUL PUSH 20 ADD ADD MLOAD SWAP2 POP PUSH 7000 DUP3 GT ISZERO PUSH [tag] 14,13.0,13.0,19.0,40.0,model
15,test_run_code_of_0_block_11_0,POP PUSH 5500 PUSH 9000 DUP3 GT ISZERO PUSH [tag] 15,2,7,13,20,,7,0,0.03,0,0,True,True,POP PUSH 5500 PUSH 9000 DUP3 GT ISZERO PUSH [tag] 15,7.0,7.0,13.0,20.0,model
16,test_run_code_of_0_block_12_0,POP PUSH 6500,2,2,4,5,,2,0,0.01,0,0,True,True,POP PUSH 6500,2.0,2.0,4.0,5.0,model
17,test_run_code_of_0_block_13_0,POP PUSH 6400 PUSH 7000 DUP3 GT ISZERO PUSH [tag] 16,2,7,13,20,,7,0,0.03,0,0,True,True,POP PUSH 6400 PUSH 7000 DUP3 GT ISZERO PUSH [tag] 16,7.0,7.0,13.0,20.0,model
18,test_run_code_of_0_block_14_0,POP PUSH 6000,2,2,4,5,,2,0,0.01,0,0,True,True,POP PUSH 6000,2.0,2.0,4.0,5.0,model
19,test_run_code_of_0_block_15_0,DUP2 PUSH 7000 SUB PUSH [tag] 17,2,4,8,12,,4,0,0.01,0,0,True,True,DUP2 PUSH 7000 SUB PUSH [tag] 17,4.0,4.0,8.0,12.0,model
20,test_run_code_of_0_block_16_0,POP PUSH 10000,2,2,5,5,,2,0,0.01,0,0,True,True,POP PUSH 10000,2.0,2.0,5.0,5.0,model
21,test_run_code_of_0_block_17_0,PUSH 3000 DUP3 LT ISZERO PUSH [tag] 18,2,5,9,15,,5,0,0.02,0,0,True,True,PUSH 3000 DUP3 LT ISZERO PUSH [tag] 18,5.0,5.0,9.0,15.0,model
22,test_run_code_of_0_block_18_0,POP PUSH 12000,2,2,5,5,,2,0,0.01,0,0,True,True,POP PUSH 12000,2.0,2.0,5.0,5.0,model
23,test_run_code_of_0_block_19_0,SWAP4 SWAP3 POP POP POP,2,5,5,12,,5,0,0.02,0,0,True,True,SWAP4 SWAP3 POP POP POP,5.0,5.0,5.0,12.0,model
24,test_run_code_of_0_block_20_0,PUSH 90000 DUP3 LT ISZERO PUSH [tag] 18,2,5,10,15,,5,0,0.02,0,0,True,True,PUSH 90000 DUP3 LT ISZERO PUSH [tag] 18,5.0,5.0,10.0,15.0,model
25,test_run_code_of_0_block_21_0,POP PUSH 7800 PUSH 80000 DUP3 LT ISZERO PUSH [tag] 20,2,7,14,20,,7,0,0.03,0,0,True,True,POP PUSH 7800 PUSH 80000 DUP3 LT ISZERO PUSH [tag] 20,7.0,7.0,14.0,20.0,model
26,test_run_code_of_0_block_22_0,POP PUSH 7700 PUSH [tag] 18,2,3,7,8,,3,0,0.01,0,0,True,True,POP PUSH 7700 PUSH [tag] 18,3.0,3.0,7.0,8.0,model
27,test_run_code_of_0_block_23_0,POP PUSH 7600 SWAP4 SWAP3 POP POP POP,2,7,9,17,,7,1,0.03,1,3,True,True,POP POP POP POP PUSH 7600 SWAP1,6.0,6.0,8.0,14.0,model
28,test_run_code_of_0_block_24_0,PUSH 4e487b71 PUSH e0 SHL PUSH 0 MSTORE PUSH 41 PUSH 4 MSTORE PUSH 24 PUSH 0,6,8,20,30,"EVAL ('224', '1313373041', 'shl')",10,2,0.02,-23,8,True,True,PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH0 MSTORE PUSH 41 PUSH 4 MSTORE PUSH 24 PUSH0,8.0,8.0,43.0,22.0,model
29,test_run_code_of_0_block_25_0,PUSH 0 PUSH 20 DUP1 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 26,2,9,13,27,,9,0,0.07,0,1,True,True,PUSH0 PUSH 20 PUSH 20 DUP4 DUP6 SUB SLT ISZERO PUSH [tag] 26,9.0,9.0,13.0,26.0,model
30,test_run_code_of_0_block_26_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
31,test_run_code_of_0_block_27_0,DUP3 CALLDATALOAD PUSH ffffffffffffffff DUP1 DUP3 GT ISZERO PUSH [tag] 27,2,8,18,24,,8,0,0.04,0,0,True,True,DUP3 CALLDATALOAD PUSH ffffffffffffffff DUP1 DUP3 GT ISZERO PUSH [tag] 27,8.0,8.0,18.0,24.0,model
32,test_run_code_of_0_block_28_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
33,test_run_code_of_0_block_29_0,DUP2 DUP6 ADD SWAP2 POP DUP6 PUSH 1f DUP4 ADD SLT PUSH [tag] 28,2,11,14,32,,11,1,0.31,1,2,True,True,DUP6 DUP6 PUSH 1f SWAP4 ADD DUP1 SWAP4 ADD SLT PUSH [tag] 28,10.0,10.0,13.0,30.0,model
34,test_run_code_of_0_block_30_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
35,test_run_code_of_0_block_31_0,DUP2 CALLDATALOAD DUP2 DUP2 GT ISZERO PUSH [tag] 30,2,7,9,21,,7,0,0.03,0,0,True,True,DUP2 CALLDATALOAD DUP2 DUP2 GT ISZERO PUSH [tag] 30,7.0,7.0,9.0,21.0,model
36,test_run_code_of_0_block_32_0,PUSH [tag] 30 PUSH [tag] 22,2,2,6,6,,2,0,0.01,0,0,True,True,PUSH [tag] 30 PUSH [tag] 22,2.0,2.0,6.0,6.0,model
37,test_run_code_of_0_block_33_0,DUP1 PUSH 5 SHL PUSH 40 MLOAD PUSH 1f NOT PUSH 3f DUP4 ADD AND DUP2 ADD DUP2 DUP2 LT DUP6 DUP3 GT OR ISZERO PUSH [tag] 32,2,22,28,66,"NOT(X),NOT(X),NOT(X)",22,0,2.04,0,0,False,False,,,,,,no_model
38,test_run_code_of_0_block_34_0,PUSH [tag] 32 PUSH [tag] 22,2,2,6,6,,2,0,0.01,0,0,True,True,PUSH [tag] 32 PUSH [tag] 22,2.0,2.0,6.0,6.0,model
39,test_run_code_of_0_block_35_0,PUSH 40 MSTORE SWAP2 DUP3 MSTORE DUP5 DUP3 ADD SWAP3 POP DUP4 DUP2 ADD DUP6 ADD SWAP2 DUP9 DUP4 GT ISZERO PUSH [tag] 33,6,21,24,62,,21,0,6.06,0,0,False,False,,,,,,no_model
40,test_run_code_of_0_block_36_0,PUSH 0 DUP1,2,2,3,6,,2,0,0.01,1,2,True,True,PUSH0 PUSH0,2.0,2.0,2.0,4.0,model
41,test_run_code_of_0_block_37_0,SWAP4 DUP6 ADD SWAP4,2,4,4,12,,4,0,0.02,0,0,True,True,SWAP4 DUP6 ADD SWAP4,4.0,4.0,4.0,12.0,model
42,test_run_code_of_0_block_38_0,DUP3 DUP6 LT ISZERO PUSH [tag] 36,2,5,7,15,,5,0,0.02,0,0,True,True,DUP3 DUP6 LT ISZERO PUSH [tag] 36,5.0,5.0,7.0,15.0,model
43,test_run_code_of_0_block_39_0,DUP5 CALLDATALOAD DUP5 MSTORE SWAP4 DUP6 ADD SWAP4 SWAP3 DUP6 ADD SWAP3 PUSH [tag] 34,4,13,15,39,,13,2,0.81,2,6,True,True,DUP6 DUP6 ADD SWAP5 CALLDATALOAD DUP7 DUP6 ADD SWAP5 MSTORE PUSH [tag] 34,11.0,11.0,13.0,33.0,model
44,test_run_code_of_0_block_40_0,SWAP9 SWAP8 POP POP POP POP POP POP POP POP,2,10,10,22,,10,0,0.06,0,0,True,True,SWAP9 SWAP8 POP POP POP POP POP POP POP POP,10.0,10.0,10.0,22.0,model
45,test_run_code_of_0_block_41_0,PUSH 4e487b71 PUSH e0 SHL PUSH 0 MSTORE PUSH 32 PUSH 4 MSTORE PUSH 24 PUSH 0,6,8,20,30,"EVAL ('224', '1313373041', 'shl')",10,2,0.01,-23,8,True,True,PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH0 MSTORE PUSH 32 PUSH 4 MSTORE PUSH 24 PUSH0,8.0,8.0,43.0,22.0,model
